20:09:52.606 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Clicked on Loan Calculators option...
20:09:57.906 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Clicked on Loan Amount Calculators icon...
20:09:59.171 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating whether Loan Amount Calculators is opened or not...
20:10:04.562 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering EMI in input box...
20:10:04.618 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of EMI input box...
20:10:09.811 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving EMI slider to given value...
20:10:10.329 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of EMI slider...
20:10:16.146 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Interest Rate in input box...
20:10:16.228 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Interest Rate input box...
20:10:21.437 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Interest Rate slider to given value...
20:10:21.963 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Interest Rate slider...
20:10:27.635 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Loan Tenure in input box...
20:10:27.691 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Loan Tenure input box...
20:10:32.882 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Loan Tenure slider to given value...
20:10:33.403 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Loan Tenure slider...
20:10:39.083 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Fees and Charges in input box...
20:10:39.138 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Fees and Charges input box...
20:10:44.313 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Fees and Charges slider to given value...
20:10:44.886 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Fees and Charges slider...
20:10:45.509 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating change in Loan Tenure scale for year and month...
20:10:45.845 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - ***** Finished TC_004_LoanAmountCalculatorTest *****
20:11:01.362 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - ***** Starting TC_005_LoanTenureCalculatorTest *****
20:11:01.643 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Calculators Tab...
20:11:02.625 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Loan Calculators option...
20:11:06.633 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Loan Tenure Calculators icon...
20:11:07.592 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating whether Loan Tenure Calculators is opened or not...
20:11:12.972 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Loan Amount in input box...
20:11:13.025 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Loan Amount input box...
20:11:18.203 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Loan Amount slider to given value...
20:11:18.719 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Loan Amount slider...
20:11:24.485 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Interest Rate in input box...
20:11:24.555 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Interest Rate input box...
20:11:29.759 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Interest Rate slider to given value...
20:11:30.256 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Interest Rate slider...
20:11:35.841 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering EMI in input box...
20:11:35.900 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of EMI input box...
20:11:41.057 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving EMI slider to given value...
20:11:41.557 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of EMI slider...
20:11:47.121 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Fees and Charges in input box...
20:11:47.174 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Fees and Charges input box...
20:11:52.321 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Fees and Charges slider to given value...
20:11:52.953 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Fees and Charges slider...
