21:49:11.992 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Clicked on Loan Amount Calculators icon...
21:49:12.962 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating whether Loan Amount Calculators is opened or not...
21:49:16.261 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering EMI in input box...
21:49:16.299 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of EMI input box...
21:49:16.426 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving EMI slider to given value...
21:49:16.931 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of EMI slider...
21:49:17.485 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Interest Rate in input box...
21:49:17.524 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Interest Rate input box...
21:49:17.654 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Interest Rate slider to given value...
21:49:18.158 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Interest Rate slider...
21:49:18.724 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Loan Tenure in input box...
21:49:18.798 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Loan Tenure input box...
21:49:18.964 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Loan Tenure slider to given value...
21:49:19.528 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Loan Tenure slider...
21:49:20.219 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Entering Fees and Charges in input box...
21:49:20.265 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Fees and Charges input box...
21:49:20.382 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Moving Fees and Charges slider to given value...
21:49:20.894 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating UI and proper functioning of Fees and Charges slider...
21:49:21.489 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - Validating change in Loan Tenure scale for year and month...
21:49:21.729 [main] INFO  testCases.TC_004_LoanAmountCalculatorTest - ***** Finished TC_004_LoanAmountCalculatorTest *****
21:49:34.748 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - ***** Starting TC_005_LoanTenureCalculatorTest *****
21:49:34.973 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Calculators Tab...
21:49:35.140 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Loan Calculators option...
21:49:39.118 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Clicked on Loan Tenure Calculators icon...
21:49:39.183 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating whether Loan Tenure Calculators is opened or not...
21:49:42.464 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Loan Amount in input box...
21:49:42.513 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Loan Amount input box...
21:49:42.752 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Loan Amount slider to given value...
21:49:43.263 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Loan Amount slider...
21:49:43.847 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Interest Rate in input box...
21:49:43.935 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Interest Rate input box...
21:49:44.098 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Interest Rate slider to given value...
21:49:45.236 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Interest Rate slider...
21:49:45.759 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering EMI in input box...
21:49:45.804 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of EMI input box...
21:49:45.909 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving EMI slider to given value...
21:49:46.382 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of EMI slider...
21:49:46.922 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Entering Fees and Charges in input box...
21:49:46.958 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Fees and Charges input box...
21:49:47.092 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Moving Fees and Charges slider to given value...
21:49:47.564 [main] INFO  testCases.TC_005_LoanTenureCalculatorTest - Validating UI and proper functioning of Fees and Charges slider...
